product_id,title,description
25471224689214566,3 Beds 3 Baths - Apartment,"**DISCOUNT** Save $1000!! 
I got offered a job back home and need to sell my contract ASAP. I will give $1000 to who ever takes over my lease at Wolverine Crossing. You can move in today! January rent is also covered 

I am unfortunately selling my lease because I was offered a job in another city and I am so sad to leave!￼
This is a shared bedroom and bathroom, but it’s the master so it’s bigger. You’ll only share the bathroom with one other person. There’s laundry in the building and parking is great."
684706067664205,1 Bed 2 Baths Apartment,"Park City, Utah- Jan 17th- Jan 21th- (Martin Luther King Weekend) 
 Four Nights-One Bedroom/Two Bath Condo in Park Plaza Resort
Martin Luther King Week - Jan 17th – Jan 21th at the Park Plaza Ski Resort, a Premier Resort in Park City, Utah.
The Park Plaza Resort is a family friendly all-suite condo resort located in the center of Park City, Utah in Prospector Square just minutes from all three ski areas, Deer Valley, Park City and The Canyons. Restaurants, Shopping, and the Liquor Store are walkable. The resort has a courtesy shuttle service throughout town and to the ski resorts. The one-bedroom suite is extremely spacious, with two full bathrooms, a fully equipped kitchen and a dining area with a table that seats six. The unit is perfect for a getaway or family vacation.
Resort Amenities: Park Plaza is Park City's #1""Premier"" family friendly resort! The Park Plaza features a sauna, fitness room, family recreational game room complete with an extra-large flat screen for movies, two smaller flat screens for gaming (Wii and Xbox), boardgames and popcorn machines. The indoor spa has been completely renovated. The rental includes full use of The Silver Mountain Spa located down the street. 
There are numerous sitting areas throughout the resort, a ping pong table, an outdoor barbeque area. Parking is underground and heated, plus there are heated ski lockers on the main floor. Park Plaza offers a 24-hourfront desk. Across the street are excellent restaurants: Fuego Bistro and Pizzeria, The Grub Steak Restaurant and a great Mexican restaurant, Nacho Mama.
Accommodations: Park Plaza's spacious rooms are comfortably furnished condo rentals and feature full sized kitchen in the one-bedroom. The Master bedroom has a king size bed and private bath. The living room has a queen size sofa bed with full bath. All the condos come with a fireplace and full balcony with complementary Wi-fi. Starter kits for coffee, tea, hot chocolate, and popcorn are placed in the kitchen as well.
Check out the Park Plaza atwww.latourhotelsandresorts.com for additional pictures and information.
The condo is being offered for $600 for 4 nights including all taxes. This is $2,000 less than if you booked the same condo directly with the resort if rooms were available.
Upon payment, buyer will receive a ""Guest Confirmation"" in their name from the resort.
Please do not hesitate to contact me if you have any questions.
Thanks,
Allen"
1608083743627850,4 Beds 2 Baths Apartment,"Hi!!
FEMALE VILLAGE APARTMENT
I'm selling my apartment contract at The Village at South Campus, and honestly this place has been amazing!! I’m only leaving because I'm heading abroad this summer!

Available: April – August 14, 2026
✨ Option to renew for Fall if you love it and want to stay longer!
✨ April rent is already paid, so you'll get those extra days completely free!

Rent: $490/month + utilities (DISCOUNTED)

About the Apartment:
This is seriously such a great setup!
— Private room just for you
— In-unit laundry (no more laundromat runs!)
— Fully furnished with tons of kitchen cabinets and a balcony
— 10-minute walk to BYU campus (makes getting to class super easy)
— Valet trash service, leave your trash outside your door and they pick it up for you (no long walks to the dumpster!)
— WiFi and TV included

Community & Ward:
I absolutely love the ward here! Everyone is so friendly and welcoming it's one of those places where it's genuinely easy to make friends. They always have fun FHE’s too! The Village also puts on fun events throughout the year, and they're free for residents! 

Amenities:
— Pool & hot tub
— Gym
— Pickleball courts
— Games loft area
— Amazon lockers
— Underground parking

My roommate and I are both going abroad, so if you want to move in with a friend let us know to get both of our contracts! 

Message me if you're interested or want more info and photos! I'm happy to answer any questions🤍"
463611216356531,2 Beds 1 Bath Apartment,"***NEWLY RENOVATED*** This upstairs apartment has been upgraded and renovated to add great features including, new flooring, freshly painted cabinets, new closet doors, new toilet, new disposal and so much more!  The water bill is included in the rent, the electricity and gas are paid by the tenant each month. There are two uncovered parking spots for each apartment. This unit is an upstairs apartment in a 4-plex and has a nice shared grassy yard. Unfortunately no pets are allowed on the property. There are hook ups for a washer and electric dryer, however they are not provided. This apartment is ready to rent March 1st!

Please message me with any further questions!

(Please message/call/text for showing availability) 

Check out this link for more listing details! 

https://listings1059543.tenantcloud.com/listings/163249"
1616660119361841,1 Bed 1 Bath - Apartment,"$750 cash for anyone who takes over our studio apartment lease at the Freehand Apartments in Provo. It’s a clean, modern studio with an open layout! It comes with a TV, and dining table, and a queen sized bed frame. 

The complex has a gym, pingpong table, and a clubhouse with kitchen. It’s in a great spot—close to BYU, downtown Provo, restaurants, and public transportation. Perfect for newly married couples or students looking for a private space.

Rent is $1,100 per month. Utilities and other expenses are around $190. This includes internet. 

Message me if you want more details or to come see it."
2422003544908676,1 Bed 1 Bath - House,"Nice area one block from UVU, 1 bedroom, 1 bathroom, laundry, parking garage. Utilities included."
1234038011832134,1 Bed 1 Bath - Apartment,"Private bedroom private bathroom, washer and dryer in unit!! Over 70 amenities on site and walking distance to Utah Valley University. Have loved living here but I am moving states for school and I need to sell my contract! 💥I’ll cover February and march rent!💥
Age frame 18-30! 

Hablo español:)"
1648954339893126,2 Beds 2 Baths - Apartment,"My daughter has a lease at The Green on Campus Drive in a freshman 2 bedroom 2 bathroom unit. It is a shared bedroom with an attached shared bathroom. She has loved living there and has the best roommates. Due to personal reasons, she needs to sell the remainder of her lease available immediately through May. We will pay the transfer fee and all of the utilities for the remainder of the lease, plus February is already paid!! This would be great for someone commuting down there currently that wants a few months of the campus living experience! The Green is a fun social place to live with great amenities! Let me know if you. have any questions!

Rent is $570
Contract ends in May so no need to pay for summer not living there!

Lots if free, covered parking. 
Washer and Dryer in the unit."
2149967599146114,Studio Apartment at the Freehand,"- Studio Apartment available at the freehand April 1! 
- Base rent is $1,095 + utilities - we usually end up paying a little less then $1200
- great location right across the street from BYU! it’s right in between the 2 swigs on N Canyon Road
- newly renovated apartments (we were the first ones to live here i believe)
- Lease runs until August 15 with the option to renew for up to 12 months
- in apartment features include:
Smart TV
convection oven
garbage disposal
partially furnished - bed frame, chairs and table included
SO much cabinet space/ and closet space
- Community features include:
on site laundry facilities
apartment gym (super nice for an apartment gym)
study rooms
common room
- option to rent extra storage closets if needed
- plenty of parking

We have really liked living here! We just need it sold so we are able to head back home (Minnesota) for part of the Summer.

for more pictures/ amenities- https://thefreehandprovo.com/?gad_source=1&gad_campaignid=21345669966&gclid=Cj0KCQiA49XMBhDRARIsAOOKJHbNn-kBP-zRDmp3b2IH7woyNSUk_orpemtHdG-WT_7aIB8qiPqDPpAaAgvSEALw_wcB"
4930738697212501,2 Beds 2 Baths Apartment,"DISCOUNTED SPRING/SUMMER CONTRACT at Melbourne Square!

TWO SPOTS available in a shared bedroom! Move in with a friend!

$305 Monthly rent (usually $405!)
$65 Utilities

Address: 460 N 100 E Provo, UT

- 15 minute walk to campus
- Newly renovated
- Free, covered parking
- Study room
- Two Fridges
- Balcony/patio
- Coin-operated laundry downstairs
- Right next to the library
- Not BYU Contracted

The windows have GREAT views of the mountains! Management has been chill and easy to communicate with. No complaints. Ready for move in mid-late April.
Message me with any questions!"
